Date,Voucher Type,Voucher Number,Account Code,Account Name,Parent Group,Group Path,Debit,Credit,Description
03/07/2025,Payment,AUTO-20260218-0038,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,4080.00,"Expense Voucher: EV-CR-20250703-1485 - Ramu,Nukaraju,Apparao,Suribabu"
03/07/2025,Payment,AUTO-20260218-0039,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,500.00,,Expense Voucher: EV-CR-20250703-2359 - Durgarao
03/07/2025,Payment,AUTO-20260218-0039,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,500.00,Expense Voucher: EV-CR-20250703-2359 - Durgarao
03/07/2025,Payment,AUTO-20260218-0040,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,1700.00,,Expense Voucher: EV-CR-20250703-5628 - Joythi harwares
03/07/2025,Payment,AUTO-20260218-0040,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,1700.00,Expense Voucher: EV-CR-20250703-5628 - Joythi harwares
03/07/2025,Payment,AUTO-20260218-0041,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,300.00,,Expense Voucher: EV-CR-20250703-7826 - Police
03/07/2025,Payment,AUTO-20260218-0041,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,300.00,Expense Voucher: EV-CR-20250703-7826 - Police
04/07/2025,Payment,AUTO-20260218-0043,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,150.00,,Expense Voucher: EV-CR-20250704-3064 - Krishna
04/07/2025,Payment,AUTO-20260218-0043,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,150.00,Expense Voucher: EV-CR-20250704-3064 - Krishna
04/07/2025,Payment,AUTO-20260218-0044,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,140.00,,Expense Voucher: EV-CR-20250704-0672 - Durgarao
04/07/2025,Payment,AUTO-20260218-0044,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,140.00,Expense Voucher: EV-CR-20250704-0672 - Durgarao
05/07/2025,Payment,AUTO-20260218-0045,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,3000.00,,Expense Voucher: EV-CR-20250705-4630 - Santhosh
05/07/2025,Payment,AUTO-20260218-0045,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,3000.00,Expense Voucher: EV-CR-20250705-4630 - Santhosh
05/07/2025,Payment,AUTO-20260218-0046,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,500.00,,Expense Voucher: EV-CR-20250705-4703 - Santhosh
05/07/2025,Payment,AUTO-20260218-0046,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,500.00,Expense Voucher: EV-CR-20250705-4703 - Santhosh
05/07/2025,Payment,AUTO-20260218-0047,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,170.00,,Expense Voucher: EV-CR-20250705-7564 - G.K.Naidu books
05/07/2025,Payment,AUTO-20260218-0047,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,170.00,Expense Voucher: EV-CR-20250705-7564 - G.K.Naidu books
07/07/2025,Payment,AUTO-20260218-0049,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,600.00,,Expense Voucher: EV-CR-20250707-7085 - Rajesh
07/07/2025,Payment,AUTO-20260218-0049,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,600.00,Expense Voucher: EV-CR-20250707-7085 - Rajesh
07/07/2025,Payment,AUTO-20260218-0050,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,3000.00,,Expense Voucher: EV-CR-20250707-7924 - Santhosh
07/07/2025,Payment,AUTO-20260218-0050,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,3000.00,Expense Voucher: EV-CR-20250707-7924 - Santhosh
07/07/2025,Payment,AUTO-20260218-0051,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,1840.00,,Expense Voucher: EV-CR-20250707-4188 - Hydraulics and Rubber Products
07/07/2025,Payment,AUTO-20260218-0051,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,1840.00,Expense Voucher: EV-CR-20250707-4188 - Hydraulics and Rubber Products
07/07/2025,Payment,AUTO-20260218-0052,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,120.00,,Expense Voucher: EV-CR-20250707-5824 - K.G.N. Tyre works
07/07/2025,Payment,AUTO-20260218-0052,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,120.00,Expense Voucher: EV-CR-20250707-5824 - K.G.N. Tyre works
07/07/2025,Payment,AUTO-20260218-0053,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,6000.00,,Expense Voucher: EV-CR-20250707-2384 - Hari
07/07/2025,Payment,AUTO-20260218-0053,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,6000.00,Expense Voucher: EV-CR-20250707-2384 - Hari
07/07/2025,Payment,AUTO-20260218-0054,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,200.00,,Expense Voucher: EV-CR-20250707-4246 - Hari
07/07/2025,Payment,AUTO-20260218-0054,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,200.00,Expense Voucher: EV-CR-20250707-4246 - Hari
07/07/2025,Payment,AUTO-20260218-0055,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,800.00,,"Expense Voucher: EV-CR-20250707-1764 - Suribabu,Manikyam,Nanibabu,Raju"
07/07/2025,Payment,AUTO-20260218-0055,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,800.00,"Expense Voucher: EV-CR-20250707-1764 - Suribabu,Manikyam,Nanibabu,Raju"
08/07/2025,Payment,AUTO-20260218-0057,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,260.00,,"Expense Voucher: EV-CR-20250708-5926 - Raju,Suribabu"
08/07/2025,Payment,AUTO-20260218-0057,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,260.00,"Expense Voucher: EV-CR-20250708-5926 - Raju,Suribabu"
08/07/2025,Payment,AUTO-20260218-0058,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,3000.00,,Expense Voucher: EV-CR-20250708-0638 - Ramesh
08/07/2025,Payment,AUTO-20260218-0058,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,3000.00,Expense Voucher: EV-CR-20250708-0638 - Ramesh
08/07/2025,Payment,AUTO-20260218-0059,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,350.00,,Expense Voucher: EV-CR-20250708-6010 - Rapido
08/07/2025,Payment,AUTO-20260218-0059,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,350.00,Expense Voucher: EV-CR-20250708-6010 - Rapido
08/07/2025,Payment,AUTO-20260218-0060,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,200.00,,Expense Voucher: EV-CR-20250708-9224 - Naidu
08/07/2025,Payment,AUTO-20260218-0060,1001,Cash-in-Hand,Cash & Cash Equivalents,Assets > Current Assets > Cash & Cash Equivalents,,200.00,Expense Voucher: EV-CR-20250708-9224 - Naidu
08/07/2025,Payment,AUTO-20260218-0061,5300,Operating Expenses,Operating Expenses,Expenses > Operating Expenses,5000.00,,Expense Voucher: EV-CR-20250708-7380 - Suribabu
